step,train_loss,train_acc,in_context_acc,val_loss,val_acc,batch_time,samples_per_second,experiment_name,timestamp,d,N,B,R_train
0,0.6931471824645996,0.699999988079071,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0517058372497558,136.5262225925733,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
1,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0293271541595459,194.4846229641222,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
2,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0105838775634765,263.9869589572201,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
3,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.002856969833374,342.92755015483357,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
4,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0030782222747802,417.0697850168049,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
5,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0038149356842041,484.15274600753,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
6,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0033891201019287,549.0460553382154,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
7,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0050108432769775,602.933084165888,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
8,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0027413368225097,663.9825511855344,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
9,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0018308162689208,727.3203983498619,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
10,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0034589767456054,779.3970558921012,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
11,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0023019313812255,836.0280582625869,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
12,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0024840831756591,889.8012363166381,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
13,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0029592514038085,938.501504760413,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
14,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.003713846206665,980.1180231435036,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
15,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0030257701873779,1023.9750006103368,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
16,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.004195213317871,1058.8939875908484,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
17,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0028088092803955,1100.9458535240926,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
18,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0031061172485351,1139.4094190413962,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
19,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0028159618377685,1178.6421026305363,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
20,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0026190280914306,1217.7454939603792,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
21,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0035159587860107,1248.8791922691714,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
22,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0023930072784423,1287.4771883136902,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
23,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0028748512268066,1321.0631677443316,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
24,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0032649040222167,1351.0888458530312,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
25,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0025620460510253,1384.7333307937474,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
26,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0063960552215576,1389.7405853427467,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
27,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0036778450012207,1412.4800438752106,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
28,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0026686191558837,1442.7297743533295,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
29,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0024659633636474,1473.7971948112793,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
30,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0043058395385742,1490.313264722502,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
31,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0023829936981201,1520.4293796062811,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
32,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0011982917785644,1558.443088556685,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
33,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0024330615997314,1586.4061931614024,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
34,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0037260055541992,1604.667945585816,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
35,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0035748481750488,1623.149509975179,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
36,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0062499046325683,1621.5781807390813,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
37,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0070111751556396,1613.533537424883,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
38,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0023620128631591,1638.9663495498744,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
39,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0026559829711914,1661.9036015207255,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
40,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0110890865325927,1627.688827428498,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
41,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0038199424743652,1641.5618998275138,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
42,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0201458930969238,1557.124817721801,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
43,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0205438137054443,1482.2100143282123,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
44,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0045218467712402,1492.374049296248,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
45,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0035321712493896,1507.3515523680055,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
46,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0063660144805908,1506.8649195705948,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
47,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.014103889465332,1471.4414494086143,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
48,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0109419822692871,1450.3954907519342,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
