step,train_loss,train_acc,in_context_acc,val_loss,val_acc,batch_time,samples_per_second,experiment_name,timestamp,d,N,B,R_train
0,0.6931472420692444,0.46399998664855957,0.9994000196456909,0.01049399096518755,1.0,0.07675600051879883,1584.0569463831432,d1000_B125_R7_20251106_193347,2025-11-06 19:34:04,1000,40,125,193.64916731037084
1,0.0,1.0,0.9994000196456909,0.01049399096518755,1.0,0.03740072250366211,2142.5001583516714,d1000_B125_R7_20251106_193347,2025-11-06 19:34:04,1000,40,125,193.64916731037084
2,0.0,1.0,0.9994000196456909,0.01049399096518755,1.0,0.0450901985168457,2314.7134613771454,d1000_B125_R7_20251106_193347,2025-11-06 19:34:04,1000,40,125,193.64916731037084
3,0.0,1.0,0.9994000196456909,0.01049399096518755,1.0,0.044682979583740234,2417.3826841723053,d1000_B125_R7_20251106_193347,2025-11-06 19:34:04,1000,40,125,193.64916731037084
4,0.0,1.0,0.9994000196456909,0.01049399096518755,1.0,0.03340601921081543,2599.5955981884226,d1000_B125_R7_20251106_193347,2025-11-06 19:34:04,1000,40,125,193.64916731037084
5,0.0,1.0,0.9994000196456909,0.01049399096518755,1.0,0.05247306823730469,2559.1752657834877,d1000_B125_R7_20251106_193347,2025-11-06 19:34:04,1000,40,125,193.64916731037084
6,0.0,1.0,0.9994000196456909,0.01049399096518755,1.0,0.061800241470336914,2464.086928847954,d1000_B125_R7_20251106_193347,2025-11-06 19:34:04,1000,40,125,193.64916731037084
7,0.0,1.0,0.9994000196456909,0.01049399096518755,1.0,0.04182720184326172,2518.200091738933,d1000_B125_R7_20251106_193347,2025-11-06 19:34:04,1000,40,125,193.64916731037084
8,0.0,1.0,0.9994000196456909,0.01049399096518755,1.0,0.026924848556518555,2649.957964292393,d1000_B125_R7_20251106_193347,2025-11-06 19:34:04,1000,40,125,193.64916731037084
9,0.0,1.0,0.9994000196456909,0.01049399096518755,1.0,0.05117678642272949,2626.4802155336088,d1000_B125_R7_20251106_193347,2025-11-06 19:34:04,1000,40,125,193.64916731037084
10,0.0,1.0,0.9994000196456909,0.01049399096518755,1.0,0.05248403549194336,2600.8859080015836,d1000_B125_R7_20251106_193347,2025-11-06 19:34:04,1000,40,125,193.64916731037084
11,0.0,1.0,0.9994000196456909,0.01049399096518755,1.0,0.04611682891845703,2608.7765637633984,d1000_B125_R7_20251106_193347,2025-11-06 19:34:04,1000,40,125,193.64916731037084
12,0.0,1.0,0.9994000196456909,0.01049399096518755,1.0,0.03705620765686035,2653.58098943044,d1000_B125_R7_20251106_193347,2025-11-06 19:34:04,1000,40,125,193.64916731037084
13,0.0,1.0,0.9994000196456909,0.01049399096518755,1.0,0.06099200248718262,2598.1880725988635,d1000_B125_R7_20251106_193347,2025-11-06 19:34:04,1000,40,125,193.64916731037084
14,0.0,1.0,0.9994000196456909,0.01049399096518755,1.0,0.04580092430114746,2605.809486099215,d1000_B125_R7_20251106_193347,2025-11-06 19:34:04,1000,40,125,193.64916731037084
15,0.0,1.0,0.9994000196456909,0.01049399096518755,1.0,0.05267596244812012,2589.368246731499,d1000_B125_R7_20251106_193347,2025-11-06 19:34:04,1000,40,125,193.64916731037084
16,0.0,1.0,0.9994000196456909,0.01049399096518755,1.0,0.06336688995361328,2541.2059079378755,d1000_B125_R7_20251106_193347,2025-11-06 19:34:04,1000,40,125,193.64916731037084
17,0.0,1.0,0.9994000196456909,0.01049399096518755,1.0,0.06459522247314453,2497.102998925978,d1000_B125_R7_20251106_193347,2025-11-06 19:34:04,1000,40,125,193.64916731037084
18,0.0,1.0,0.9994000196456909,0.01049399096518755,1.0,0.0771949291229248,2427.3278679416862,d1000_B125_R7_20251106_193347,2025-11-06 19:34:04,1000,40,125,193.64916731037084
19,0.0,1.0,0.9994000196456909,0.01049399096518755,1.0,0.03351712226867676,2470.0360526101927,d1000_B125_R7_20251106_193347,2025-11-06 19:34:04,1000,40,125,193.64916731037084
20,0.0,1.0,0.9994000196456909,0.01049399096518755,1.0,0.034976959228515625,2506.450039907246,d1000_B125_R7_20251106_193347,2025-11-06 19:34:04,1000,40,125,193.64916731037084
