step,train_loss,train_acc,in_context_acc,val_loss,val_acc,batch_time,samples_per_second,experiment_name,timestamp,d,N,B,R_train
0,0.6931473612785339,0.4959999918937683,1.0,0.0019833340775221586,1.0,0.3870201110839844,2562.2300659631737,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
1,0.0,1.0,1.0,0.0019833340775221586,1.0,0.33350205421447754,2761.1416894934787,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
2,0.0,1.0,1.0,0.0019833340775221586,1.0,0.294478178024292,2943.317525434624,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
3,0.0,1.0,1.0,0.0019833340775221586,1.0,0.3867630958557129,2844.3938087717825,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
4,0.0,1.0,1.0,0.0019833340775221586,1.0,0.2991299629211426,2931.35657458979,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
5,0.0,1.0,1.0,0.0019833340775221586,1.0,0.2674601078033447,3039.9741396242853,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
6,0.0,1.0,1.0,0.0019833340775221586,1.0,0.33631181716918945,3030.0379062694474,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
7,0.0,1.0,1.0,0.0019833340775221586,1.0,0.4002878665924072,2951.231340874705,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
8,0.0,1.0,1.0,0.0019833340775221586,1.0,0.26029086112976074,3028.398261424584,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
9,0.0,1.0,1.0,0.0019833340775221586,1.0,0.4128739833831787,2953.917438850453,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
10,0.0,1.0,1.0,0.0019833340775221586,1.0,0.25113916397094727,3024.5521369651638,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
11,0.0,1.0,1.0,0.0019833340775221586,1.0,0.2790389060974121,3063.9101103896814,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
12,0.0,1.0,1.0,0.0019833340775221586,1.0,0.2801358699798584,3097.499104993189,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
13,0.0,1.0,1.0,0.0019833340775221586,1.0,0.4521799087524414,3011.0175482281174,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
14,0.0,1.0,1.0,0.0019833340775221586,1.0,0.4216320514678955,2957.6989444304586,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
15,0.0,1.0,1.0,0.0019833340775221586,1.0,0.318619966506958,2968.2701981025484,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
16,0.0,1.0,1.0,0.0019833340775221586,1.0,0.347883939743042,2962.3717397805417,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
17,0.0,1.0,1.0,0.0019833340775221586,1.0,0.40908098220825195,2927.7742384778726,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
18,0.0,1.0,1.0,0.0019833340775221586,1.0,0.38576626777648926,2907.6008113955563,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
19,0.0,1.0,1.0,0.0019833340775221586,1.0,0.729464054107666,2752.810120733544,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
20,0.0,1.0,1.0,0.0019833340775221586,1.0,0.37541890144348145,2748.3223543409545,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
21,0.0,1.0,1.0,0.0019833340775221586,1.0,0.3435859680175781,2754.6049598042746,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
22,0.0,1.0,1.0,0.0019833340775221586,1.0,0.316601037979126,2769.9306373063396,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
23,0.0,1.0,1.0,0.0019833340775221586,1.0,0.46946191787719727,2735.5383797245904,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
24,0.0,1.0,1.0,0.0019833340775221586,1.0,0.3665001392364502,2735.1004496846986,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
25,0.0,1.0,1.0,0.0019833340775221586,1.0,0.3531019687652588,2738.2400231248557,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
26,0.0,1.0,1.0,0.0019833340775221586,1.0,0.903343915939331,2596.4551892198265,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
27,0.0,1.0,1.0,0.0019833340775221586,1.0,0.4334399700164795,2584.818772287747,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
28,0.0,1.0,1.0,0.0019833340775221586,1.0,0.31273913383483887,2601.9486011534373,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
29,0.0,1.0,1.0,0.0019833340775221586,1.0,0.2992360591888428,2621.1877652856697,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
30,0.0,1.0,1.0,0.0019833340775221586,1.0,0.3108029365539551,2636.847482609068,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
31,0.0,1.0,1.0,0.0019833340775221586,1.0,0.33423471450805664,2646.5896315029872,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
32,0.0,1.0,1.0,0.0019833340775221586,1.0,0.3407628536224365,2654.3173906784295,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
33,0.0,1.0,1.0,0.0019833340775221586,1.0,0.42331767082214355,2644.6408409984792,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
34,0.0,1.0,1.0,0.0019833340775221586,1.0,0.37618088722229004,2644.4720291377753,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
35,0.0,1.0,1.0,0.0019833340775221586,1.0,0.4354100227355957,2633.34546456804,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
36,0.0,1.0,1.0,0.0019833340775221586,1.0,0.3146049976348877,2645.5590073324906,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
37,0.0,1.0,1.0,0.0019833340775221586,1.0,0.367354154586792,2647.40248397824,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
38,0.0,1.0,1.0,0.0019833340775221586,1.0,0.32737016677856445,2656.4243854510287,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
39,0.0,1.0,1.0,0.0019833340775221586,1.0,0.3304779529571533,2664.460842720777,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
40,0.0,1.0,1.0,0.0019833340775221586,1.0,0.3578522205352783,2667.453987915628,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
41,0.0,1.0,1.0,0.0019833340775221586,1.0,0.31052494049072266,2678.3565514077786,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
42,0.0,1.0,1.0,0.0019833340775221586,1.0,0.2802920341491699,2693.9412016181354,d1000_B1000_R7_20251031_174106,2025-10-31 17:44:31,1000,40,1000,158.11388300841895
